Plot_Code,Stem_number,Species,DBH_cm,Condition,Biomass,,
SG02,87,I,22.6,A,350.1,,
SG02,88,C2,31.83,A,817.51,,
SG02,89,H,15.12,A,128.25,,
SG02,90,W,19.1,A,230.21,,
SG02,91,L,38.36,A,1293.89,,
SG02,92,H,14.93,A,124.24,,
SG02,93,C,20.91,A,288.53,,
SG02,94,C,20.69,A,281.02,,
SG02,95,H,23.71,A,394.41,,
SG02,96,W,27.57,A,573.25,,
SG02,97,C,15.41,A,134.51,,
SG02,98,C,11.08,A,58.59,,
SG02,99,C,12.32,A,76.6,,
SG02,100,H,68.75,A,5364.57,,
SG02,101,I,10.31,A,48.83,,
SG02,102,C,12.51,A,79.61,,
SG02,103,-,29.41,Dead,672.55,,
SG02,104,H,44.88,A,1900.81,,
SG02,105,H,14.23,A,110.12,,
SG02,106,C,27.15,A,551.88,,
SG02,107,C,21.36,A,304.24,,
SG02,108,V,30.08,A,711.03,,
SG02,109,W,40.71,A,1497.07,,
SG02,110,,28.65,A,630.41,,
SG02,111,,28.65,A,630.41,,
THA01,1,THAsp1,19.7,A,248.68,,
THA01,2,THAsp2,42,A,1616,,
THA01,3,THAsp2,48.1,A,2251.47,,
THA01,4,THAsp2,41.1,A,1532.47,,
THA01,5,THAsp2,43.9,A,1800.87,,
THA01,6,THAsp2,49,A,2355.69,,
THA01,7,THAsp2,59.2,A,3733.04,,
THA01,8,THAsp3,22.9,A,361.77,,
THA01,9,THAsp3,39.2,A,1364.54,,
THA01,10,THAsp2,34.7,A,1011.25,,
THA01,11,THAsp1,29.9,A,700.57,,
THA01,12,THAsp1,24.8,A,440.96,,
THA01,13,THAsp2,42,A,1616,,
THA01,14,THAsp2,34.7,A,1011.25,,
THA01,15,THAsp3,34.7,A,1011.25,,
THA01,16,THAsp2,46.5,A,2072.92,,
THA01,17,THAsp2,49,A,2355.69,,
THA01,18,THAsp2,41.4,A,1560.03,,
THA01,19,THAsp4,33.4,A,920.51,,
THA01,20,THAsp2,40.1,A,1442.67,,
THA01,21,THAsp5,59.2,A,3733.04,,
THA01,22,THAsp2,41.1,A,1532.47,,
THA01,23,THAsp6,37.2,A,1199.9,,
THA01,24,THAsp7,11.1,A,58.86,,
THA01,25,THAsp8,34.7,A,1011.25,,
THA01,26,THAsp9,39.8,A,1416.34,,
THA01,27,THAsp9,43,A,1711.85,,
THA01,28,THAsp10,34.7,A,1011.25,,
THA01,29,THAsp10,34.7,A,1011.25,,
THA01,30,THAsp10,40.1,A,1442.67,,
,,,,,biomass in kg,,
SK01,1,european beech,45.2,A,"1571,95",,
